age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
25-34,Business/Consulting/Administrative Work,Associate Account Director,113000.0,USD,USA,Massachusetts,Boston,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Education,High school Math teacher,53000.0,USD,USA,Florida,Fort Lauderdale ,5 - 7 years,5 - 7 years,Master's degree,Man,White
45-54,Business/Consulting/Administrative Work,Operations Specialist,60000.0,USD,USA,Georgia,Suwanee ,31 - 40 years,21 - 30 years,College degree,Woman,White
45-54,Accounting/Banking/Finance,Accounting Paraprofessional,52000.0,USD,USA,Virginia,Charlottesville,31 - 40 years,11 - 20 years,College degree,Woman,White
35-44,Education,Director of Assessment,61000.0,USD,USA,Massachusetts,Williamstown,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Medical/Health Care,Registered Nurse,95000.0,USD,USA,California,Santa Rosa,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Law,HR Manager,132500.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,CPA (tax senior associate) ,70000.0,USD,USA,Missouri,Overland Park ,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Art/Design/Media,Graphic Designer,42000.0,USD,USA,California,Rancho Cucamonga,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Engineering Manager,186000.0,USD,USA,Washington,Seattle,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Law,Senior staff attorney ,87000.0,USD,USA,New York,New York City,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Computing/IT/Tech,Apple Technology Specialist,29120.0,USD,USA,Alabama,Auburn,11 - 20 years,2 - 4 years,College degree,Man,White
25-34,Accounting/Banking/Finance,Teller,36000.0,USD,USA,Washington,Tacoma,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Computing/IT/Tech,Platform Operations Engineer,80881.0,USD,USA,Massachusetts,Cambridge,5 - 7 years,2 - 4 years,Master's degree,Woman,White
18-24,Insurance,eSales Representative,47000.0,USD,USA,Idaho,CDA,2 - 4 years,1 year or less,College degree,Woman,White
35-44,Art/Design/Media,Content Manager,83000.0,USD,USA,Washington,Redmond,5 - 7 years,2 - 4 years,Master's degree,Woman,White
25-34,Art/Design/Media,Managing Editor,85000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Business/Consulting/Administrative Work,Senior Director,215000.0,USD,USA,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Computing/IT/Tech,Senior Software Engineer,123000.0,USD,USA,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman,White
45-54,Medical/Health Care,RN,82000.0,USD,USA,Oregon,Portland,21 - 30 years,5 - 7 years,College degree,Woman,White
35-44,Sales,"Sales Manager, Key Account Executive",90000.0,USD,USA,Alaska,Anchorage,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,teacher/mentor,44800.0,USD,USA,New Jersey,Cherry Hill,8 - 10 years,2 - 4 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Personal Assistant ,100000.0,USD,USA,New York,New York City,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Membership Manager,51400.0,USD,USA,Montana,Helena,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Procurement Manager ,65000.0,USD,USA,New York,Utica,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Utilities/Telecommunications,Renewable Energy Program Manager,96000.0,USD,USA,Washington,Seattle,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Computing/IT/Tech,Associate Systems Administrator,78000.0,USD,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Operations Associate ,50000.0,USD,USA,New York,New York City,2 - 4 years,1 year or less,Master's degree,Man,White
35-44,Accounting/Banking/Finance,Administrative Assistant ,40000.0,USD,USA,Illinois,Willowbrook ,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Education,Administrative Specialist,30000.0,USD,USA,Texas,Denton,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Education,Teacher,90000.0,USD,USA,California,Fresno,31 - 40 years,31 - 40 years,Master's degree,Woman,Black or African American
25-34,Government/Public Administration,Research Fishery Biologist,75000.0,USD,USA,Hawaii,Honolulu,5 - 7 years,5 - 7 years,PhD,Woman,White
25-34,Insurance,Executive Admin,36000.0,USD,USA,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Consumer Banking Relationship Manager,50000.0,USD,USA,Maine,Bangor,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Computing/IT/Tech,Technical Customer Support,65000.0,USD,USA,Arizona,Phoenix,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Law,Lead Privacy Counsel,215000.0,USD,USA,California,San Fransisco,5 - 7 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Others/Not Correctly Specified,Marketing Operations,62400.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Law,Associate attorney ,141000.0,USD,USA,Ohio,Columbus,5 - 7 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin"
25-34,Medical/Health Care,"Sr. Specialist, Talent Acquisition, vendor managment",60000.0,USD,USA,Ohio,Columbus,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Medical/Health Care,Analytics Manager,135000.0,USD,USA,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Nonprofits,Education Program Manager,80000.0,USD,USA,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Senior engineer ,105000.0,USD,USA,Connecticut,New London ,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Senior manager,200000.0,USD,USA,New York,New York City,8 - 10 years,2 - 4 years,College degree,Woman,White
45-54,Medical/Health Care,Data Manager,81000.0,USD,USA,Maryland,Montgomery County,11 - 20 years,11 - 20 years,PhD,Woman,White
35-44,Computing/IT/Tech,Vice President of Operations,175000.0,USD,USA,California,"Novato, CA",21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Transport/Logistics,Supply Chain Project Manager,101000.0,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Substitute Secretary ,21840.0,USD,USA,New Jersey,Lacey Township,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Computing/IT/Tech,Senior Test Engineer,116000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Retail,Sales Floor/Stocking,23400.0,USD,USA,California,Pasadena,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Hospitality/Events/Entertainment,Props Fabrication,50000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Medical/Health Care,Pharmacy Director,148650.0,USD,USA,Florida,Gainesville,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
35-44,Utilities/Telecommunications,Vice President Human Resources ,159000.0,USD,USA,Minnesota,Plymouth,11 - 20 years,11 - 20 years,College degree,Woman,White
18-24,Sales,Support Coordinator,33280.0,USD,USA,Georgia,Atlanta,2 - 4 years,1 year or less,College degree,Non-binary,White
25-34,Engineering/Manufacturing/Construction,Customer Service Representative,31200.0,USD,USA,Missouri,St. Louis,2 - 4 years,1 year or less,College degree,Woman,White
25-34,Computing/IT/Tech,Director of Marketing ,83000.0,USD,USA,More than one State,Pittsburgh ,8 - 10 years,5 - 7 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Nonprofits,Chief Development Officer,125000.0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Operations Manager/Executive Assistant,96500.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Compliance Manager,140000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,High School,Woman,Middle Eastern or Northern African
45-54,Computing/IT/Tech,Senior Product Manager,150000.0,USD,USA,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Business Representative,80000.0,USD,USA,Washington,Seattle,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Man,White
55-64,Business/Consulting/Administrative Work,Senior Marketing Manager,105.0,USD,USA,California,Los Angeles,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Medical/Health Care,Quality Specialist in Clinical Laboratory,84500.0,USD,USA,Minnesota,Rochester,21 - 30 years,21 - 30 years,College degree,Woman,White
55-64,Education,Math teacher,100000.0,USD,USA,New York,Rural area,31 - 40 years,31 - 40 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Tax accountant,55000.0,USD,USA,Indiana,Columbus,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Biotechnology/Pharma/Biology,Principal Scientist,161000.0,USD,USA,California,San Francisco,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Government/Public Administration,Tax Auditor,75000.0,USD,USA,California,Sacramento,11 - 20 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
55-64,Engineering/Manufacturing/Construction,CAD Technician (senior),68000.0,USD,USA,North Carolina,Raleigh,31 - 40 years,31 - 40 years,College degree,Woman,White
25-34,Government/Public Administration,Management Analyst IV (Data Analyst),78000.0,USD,USA,Texas,Houston,5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Government/Public Administration,Project Engineer,107670.0,USD,USA,Washington,Bremerton,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Teacher,46500.0,USD,USA,Georgia,Atlanta,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Government/Public Administration,Grants Administrator,87962.0,USD,USA,Virginia,Arlington,8 - 10 years,2 - 4 years,Master's degree,Woman,White
18-24,Business/Consulting/Administrative Work,Consultant,88000.0,USD,USA,District of Columbia,DC,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Education,Events and Outreach Manager,58000.0,USD,USA,Illinois,Chicago,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Head of Circulation and Reference,42000.0,USD,USA,Illinois,Lake Bluff,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Government/Public Administration,Grant Advisor,65000.0,USD,USA,Kentucky,Louisville,31 - 40 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,"Coordinator, Marketing and Promotion",50000.0,USD,USA,Texas,San Marcos,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18-24,Education,7th grade teacher,48000.0,USD,USA,Ohio,Cincinnati,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Office manager,58240.0,USD,USA,New Jersey,East Windsor,8 - 10 years,2 - 4 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Sr. Contracts Specialist,82500.0,USD,USA,California,Santa Ana,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Business/Consulting/Administrative Work,Associate Partner ,250000.0,USD,USA,Maryland,Bethesda ,21 - 30 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
35-44,Education,Middle school sped teacher ,60000.0,USD,USA,Wisconsin,Neopit,8 - 10 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
55-64,Accounting/Banking/Finance,Grants & Project Accountant,91811.0,USD,USA,Oregon,Portland,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Customer development director,208000.0,USD,USA,New Jersey,Nyc metro,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofits,District Director,62000.0,USD,USA,California,Los Angeles,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Education,School Psychologist,66500.0,USD,USA,North Carolina,"Raleigh, NC",8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Education,Graduate Student TA,22000.0,USD,USA,Illinois,Chicago,2 - 4 years,1 year or less,College degree,Woman,White
35-44,Education,Elementary school librarian,68000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Medical/Health Care,Office Manager,41600.0,USD,USA,Oregon,Ashland,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Agile Project Management,86000.0,USD,USA,Texas,San Antonio,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Law,Paralegal,50000.0,USD,USA,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Non-binary,White
35-44,Nonprofits,Executive Director,134000.0,USD,USA,New York,New york,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Business/Consulting/Administrative Work,Proposal Manager,125000.0,USD,USA,Virginia,Arlington,31 - 40 years,21 - 30 years,Master's degree,Woman,White
45-54,Accounting/Banking/Finance,Senior Administrative Assistant,73000.0,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Medical/Health Care,Nurse Practitioner ,94000.0,USD,USA,Tennessee,Knoxville ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,Software Engineer,94000.0,USD,USA,Virginia,Northern VA,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Art/Design/Media,Graphic Designer,73000.0,USD,USA,California,Los Angeles,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Leisure/Sport/Tourism,Graphics Coordinator,56800.0,USD,USA,Pennsylvania,Philadelphia,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Computing/IT/Tech,Systems Engineer,94000.0,USD,USA,Utah,Clearfield,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Lead Analyst,73000.0,USD,USA,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Others/Not Correctly Specified,Sales Analyst ,55000.0,USD,USA,Ohio,Cleveland ,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Business/Consulting/Administrative Work,Data analyst,60000.0,USD,USA,Colorado,Denver,11 - 20 years,5 - 7 years,Master's degree,Woman,White
35-44,Education,Teacher ,91000.0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,PhD student/research assistant,22000.0,USD,USA,Colorado,Boulder,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Sales,Sales Director,118000.0,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,Master's degree,Man,White
35-44,Others/Not Correctly Specified,IT Project Manager,176800.0,USD,USA,New Jersey,Trenton,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Elementary Teacher,62140.0,USD,USA,Texas,Houston,11 - 20 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Nonprofits,Assistant Director ,115000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Utilities/Telecommunications,Environmental Regulatory Specialist,97000.0,USD,USA,Georgia,Tucker,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Cash App Officer,38000.0,USD,USA,California,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Transport/Logistics,Sales Assistant ,55000.0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,High School,Woman,White
55-64,Utilities/Telecommunications,Business Data Analyst,72000.0,USD,USA,California,Los Angeles,31 - 40 years,5 - 7 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Quality tech,36000.0,USD,USA,Tennessee,Hartsville,21 - 30 years,2 - 4 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Manager,160000.0,USD,USA,Pennsylvania,Philadelphia,5 - 7 years,5 - 7 years,Master's degree,Woman,Asian or Asian American
25-34,Education,Assistant Program Director,74000.0,USD,USA,Illinois,Chicago,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Education,User Services Coordinator/Liaison Librarian,72000.0,USD,USA,California,Carson,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Vice President of Advancement ,200000.0,USD,USA,Pennsylvania,Pittsburgh ,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Education,Teacher,96000.0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Loan Operations Specialist ,36075.0,USD,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,High School,Woman,White
25-34,Government/Public Administration,Policy Advisor,63864.0,USD,USA,Colorado,Denver,5 - 7 years,2 - 4 years,College degree,Woman,White
